INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,FASE IDEAL,DEFA,ANO,FASE
7.675,5.0,8.4,9.3,7.0,7.5,5.683999999999987,8.083,Fase 2 (5º e 6º ano),-2,22,0.0
7.44,5.0,8.1,9.8,9.0,2.5,5.933999999999999,8.083,Fase 1 (4º ano),-1,22,0.0
6.658,5.0,7.1,9.2,5.2,7.5,4.280000000000008,6.0,Fase 1 (4º ano),-1,22,0.0
7.738,5.0,9.2,8.7,9.0,7.5,5.9140000000000015,7.083,Fase 1 (4º ano),-1,22,0.0
7.755,5.0,8.7,9.3,9.0,7.5,5.215999999999985,7.417,Fase 2 (5º e 6º ano),-2,22,0.0
7.387,10.0,6.8,8.6,10.0,5.0,4.069999999999991,7.0,ALFA  (2º e 3º ano),0,22,0.0
6.099,5.0,5.1,7.4,7.5,5.0,4.824000000000002,6.833,Fase 2 (5º e 6º ano),-2,22,0.0
6.741,5.0,7.2,8.6,9.0,5.0,3.6439999999999895,6.583,Fase 2 (5º e 6º ano),-2,22,0.0
6.634,5.0,7.1,6.2,9.5,7.5,5.073999999999996,6.333,Fase 2 (5º e 6º ano),-2,22,0.0
7.659,5.0,9.1,6.7,9.5,7.5,6.155999999999997,8.417,Fase 2 (5º e 6º ano),-2,22,0.0
7.679,5.0,8.5,8.1,10.0,6.9,5.523999999999996,8.083,Fase 2 (5º e 6º ano),-2,22,0.0
7.282,5.0,7.3,8.4,8.0,7.5,5.7539999999999925,7.583,Fase 1 (4º ano),-1,22,0.0
5.313,5.0,2.3,3.5,9.5,7.5,5.363999999999995,7.083,Fase 2 (5º e 6º ano),-2,22,0.0
7.285,5.0,6.9,8.9,9.5,5.0,5.749999999999993,8.0,Fase 2 (5º e 6º ano),-2,22,0.0
6.04,5.0,3.5,7.9,9.0,6.3,5.299999999999994,6.0,Fase 1 (4º ano),-1,22,0.0
6.026,5.0,8.0,5.1,8.0,5.0,4.394,5.833,Fase 2 (5º e 6º ano),-2,22,0.0
7.42,5.0,7.8,8.7,10.0,7.5,4.199999999999999,7.25,Fase 1 (4º ano),-1,22,0.0
6.953,5.0,8.0,6.9,9.0,5.6,5.629999999999997,7.25,Fase 2 (5º e 6º ano),-2,22,0.0
6.656,5.0,4.9,8.7,8.5,4.4,5.625999999999989,7.917,Fase 1 (4º ano),-1,22,0.0
6.525,5.0,6.7,8.1,8.9,7.5,3.4160000000000057,5.417,Fase 1 (4º ano),-1,22,0.0
6.832,5.0,5.4,7.3,9.0,7.5,5.586000000000002,7.917,Fase 2 (5º e 6º ano),-2,22,0.0
8.093,10.0,9.2,8.9,8.0,6.3,5.5959999999999965,7.417,ALFA  (2º e 3º ano),0,22,0.0
5.552,5.0,4.2,4.6,9.0,7.5,4.253999999999998,6.083,Fase 2 (5º e 6º ano),-2,22,0.0
6.731,5.0,7.6,5.9,8.0,7.5,5.644,7.083,Fase 1 (4º ano),-1,22,0.0
7.973,10.0,7.6,8.1,9.5,7.5,5.49599999999999,7.917,ALFA  (2º e 3º ano),0,22,0.0
7.41,5.0,8.1,8.1,10.0,4.4,5.633999999999997,8.333,Fase 1 (4º ano),-1,22,0.0
7.426,10.0,5.5,6.6,10.0,8.1,5.625999999999998,8.167,ALFA  (2º e 3º ano),0,22,0.0
6.931,10.0,5.6,5.9,9.5,5.6,5.209999999999999,8.0,ALFA  (2º e 3º ano),0,22,0.0
6.33,10.0,5.0,5.9,8.0,8.1,4.399999999999995,5.5,ALFA  (2º e 3º ano),0,22,0.0
6.985,10.0,4.4,7.5,10.0,7.5,5.384000000000002,6.583,ALFA  (2º e 3º ano),0,22,0.0
7.736,10.0,8.4,7.7,9.0,8.1,4.559999999999986,6.75,ALFA  (2º e 3º ano),0,22,0.0
8.244,10.0,9.1,7.3,9.5,8.1,5.705999999999989,8.167,ALFA  (2º e 3º ano),0,22,0.0
8.155,10.0,8.1,8.7,10.0,8.1,5.3499999999999925,7.25,ALFA  (2º e 3º ano),0,22,0.0
7.902,5.0,8.3,8.2,10.0,8.8,5.720000000000001,8.25,Fase 2 (5º e 6º ano),-2,22,0.0
7.151,5.0,7.3,8.5,9.0,6.9,4.8439999999999905,7.083,Fase 2 (5º e 6º ano),-2,22,0.0
7.347,5.0,7.2,7.9,9.0,8.8,5.469999999999997,7.5,Fase 1 (4º ano),-1,22,0.0
6.684,5.0,5.1,8.5,9.5,5.6,5.706000000000007,6.917,Fase 1 (4º ano),-1,22,0.0
6.952,5.0,7.3,7.2,9.5,5.6,5.586000000000002,7.417,Fase 2 (5º e 6º ano),-2,22,0.0
7.485,5.0,7.3,9.0,9.0,5.6,5.484,8.583,Fase 2 (5º e 6º ano),-2,22,0.0
6.707,5.0,5.4,8.5,9.0,5.6,5.669999999999993,7.0,Fase 2 (5º e 6º ano),-2,22,0.0
8.058,5.0,9.0,9.2,9.5,5.6,5.746000000000002,9.167,Fase 1 (4º ano),-1,22,0.0
7.227,10.0,5.7,8.1,8.5,5.6,5.570000000000004,7.5,ALFA  (2º e 3º ano),0,22,0.0
6.82,10.0,5.9,7.3,6.4,5.6,5.634000000000006,7.083,ALFA  (2º e 3º ano),0,22,0.0
7.218,5.0,7.2,9.0,8.5,5.6,5.680000000000005,7.5,Fase 1 (4º ano),-1,22,0.0
6.896,5.0,6.3,8.4,9.5,5.6,4.625999999999992,7.417,Fase 2 (5º e 6º ano),-2,22,0.0
7.097,5.0,7.3,8.7,8.5,5.0,5.469999999999997,7.5,Fase 1 (4º ano),-1,22,0.0
6.672,5.0,4.8,7.9,10.0,5.6,5.720000000000001,7.5,Fase 1 (4º ano),-1,22,0.0
7.742,10.0,6.2,9.7,9.5,5.6,5.520000000000005,7.5,ALFA  (2º e 3º ano),0,22,0.0
7.382,5.0,8.1,8.5,9.0,5.6,5.519999999999996,7.75,Fase 1 (4º ano),-1,22,0.0
7.656,10.0,7.2,9.1,8.0,5.6,5.525999999999991,7.417,ALFA  (2º e 3º ano),0,22,0.0
7.676,5.0,8.8,7.6,10.0,7.5,5.625999999999998,7.917,Fase 2 (5º e 6º ano),-2,22,0.0
8.084,5.0,9.1,9.0,10.0,7.5,5.639999999999992,8.25,Fase 1 (4º ano),-1,22,0.0
7.484,5.0,8.8,7.7,9.5,7.5,5.339999999999998,7.25,Fase 1 (4º ano),-1,22,0.0
6.344,5.0,6.8,8.9,9.5,4.4,2.8059999999999885,5.167,Fase 2 (5º e 6º ano),-2,22,0.0
5.246,5.0,3.8,5.8,8.5,7.5,0.0,6.167,Fase 2 (5º e 6º ano),-2,22,0.0
8.197,5.0,9.5,9.0,10.0,7.5,5.635999999999992,8.417,Fase 2 (5º e 6º ano),-2,22,0.0
8.481,10.0,9.1,8.6,9.5,7.5,5.575999999999999,8.417,ALFA  (2º e 3º ano),0,22,0.0
6.602,5.0,7.9,5.8,10.0,4.4,5.3859999999999975,6.917,Fase 1 (4º ano),-1,22,0.0
8.566,10.0,9.5,9.2,9.5,6.9,5.693999999999999,8.083,ALFA  (2º e 3º ano),0,22,0.0
6.976,5.0,5.7,7.9,10.0,7.5,5.559999999999992,7.25,Fase 1 (4º ano),-1,22,0.0
8.26,5.0,9.7,9.3,9.5,7.5,5.599999999999987,8.5,Fase 1 (4º ano),-1,22,0.0
7.911,5.0,8.1,9.1,9.0,7.5,6.54399999999999,8.333,Fase 1 (4º ano),-1,22,0.0
7.563,5.0,7.5,8.6,9.0,7.5,6.263999999999994,7.833,Fase 2 (5º e 6º ano),-2,22,0.0
8.172,5.0,8.8,9.2,9.0,7.5,6.386000000000003,8.917,Fase 2 (5º e 6º ano),-2,22,0.0
8.06,5.0,8.2,9.4,10.0,7.5,6.400000000000006,8.25,Fase 1 (4º ano),-1,22,0.0
7.28,2.5,6.7,9.7,10.0,7.5,5.834000000000001,7.083,Fase 3 (7º e 8º ano),-3,22,0.0
7.402,5.0,6.5,9.7,9.5,7.5,5.286,7.167,Fase 2 (5º e 6º ano),-2,22,0.0
8.004,10.0,7.5,8.8,9.0,7.5,5.605999999999991,7.667,ALFA  (2º e 3º ano),0,22,0.0
6.902,5.0,4.3,9.3,8.5,7.5,5.986000000000002,7.417,Fase 1 (4º ano),-1,22,0.0
8.185,5.0,8.7,9.5,10.0,7.5,6.284000000000001,8.333,Fase 2 (5º e 6º ano),-2,22,0.0
7.511,5.0,7.0,9.0,9.5,7.5,5.943999999999994,7.583,Fase 2 (5º e 6º ano),-2,22,0.0
7.646,5.0,7.1,10.0,9.0,7.5,5.593999999999992,7.583,Fase 2 (5º e 6º ano),-2,22,0.0
7.598,5.0,7.9,7.5,10.0,7.5,5.679999999999996,8.5,Fase 1 (4º ano),-1,22,0.0
8.143,10.0,8.3,8.9,9.5,7.5,5.364000000000004,7.333,ALFA  (2º e 3º ano),0,22,0.0
7.873,10.0,7.0,8.3,10.0,7.5,5.629999999999997,7.5,ALFA  (2º e 3º ano),0,22,0.0
6.994,5.0,9.2,5.4,9.0,7.5,4.739999999999993,7.25,Fase 2 (5º e 6º ano),-2,22,0.0
6.922,5.0,8.1,6.8,10.0,5.0,5.253999999999994,7.083,Fase 1 (4º ano),-1,22,0.0
7.587,10.0,6.1,7.8,10.0,7.5,5.736000000000008,7.417,ALFA  (2º e 3º ano),0,22,0.0
5.79,5.0,5.7,5.7,7.9,4.4,4.96599999999999,6.417,Fase 2 (5º e 6º ano),-2,22,0.0
3.898,5.0,1.7,4.3,0.0,4.4,4.914000000000001,6.333,Fase 1 (4º ano),-1,22,0.0
7.096,10.0,5.3,7.7,8.0,7.5,5.459999999999994,7.0,ALFA  (2º e 3º ano),0,22,0.0
7.432,5.0,7.1,6.7,10.0,7.5,6.554000000000002,8.833,Fase 1 (4º ano),-1,22,0.0
5.702,5.0,2.6,5.0,9.5,7.5,5.653999999999995,7.083,Fase 2 (5º e 6º ano),-2,22,0.0
6.955,5.0,6.9,7.6,8.0,7.5,5.716000000000001,7.167,Fase 1 (4º ano),-1,22,0.0
7.786,5.0,8.3,8.9,10.0,7.5,5.459999999999994,7.75,Fase 1 (4º ano),-1,22,0.0
7.485,10.0,6.0,8.4,9.5,7.5,5.049999999999999,7.0,ALFA  (2º e 3º ano),0,22,0.0
6.996,10.0,6.0,5.8,9.5,7.5,5.526,6.917,ALFA  (2º e 3º ano),0,22,0.0
8.34,5.0,8.2,10.0,9.5,7.5,6.5000000000000036,9.25,Fase 1 (4º ano),-1,22,0.0
7.642,5.0,8.4,8.6,9.0,7.5,5.585999999999993,7.667,Fase 1 (4º ano),-1,22,0.0
7.004,5.0,6.1,9.5,9.0,5.6,4.905999999999997,7.167,Fase 2 (5º e 6º ano),-2,22,0.0
7.205,10.0,3.4,9.5,8.5,7.5,5.750000000000002,7.25,ALFA  (2º e 3º ano),0,22,0.0
8.264,10.0,8.0,9.3,10.0,5.6,5.105999999999984,8.667,ALFA  (2º e 3º ano),0,22,0.0
7.405,10.0,4.2,9.4,9.0,7.5,5.5159999999999965,7.417,ALFA  (2º e 3º ano),0,22,0.0
7.504,5.0,7.8,8.9,9.0,7.5,5.305999999999997,7.417,Fase 2 (5º e 6º ano),-2,22,0.0
7.507,5.0,6.5,8.7,9.5,7.5,5.669999999999993,8.5,Fase 2 (5º e 6º ano),-2,22,0.0
7.025,5.0,6.2,8.0,9.5,7.5,5.516000000000005,7.167,Fase 1 (4º ano),-1,22,0.0
6.894,5.0,6.0,7.6,9.5,7.5,5.074000000000005,7.333,Fase 2 (5º e 6º ano),-2,22,0.0
7.335,10.0,4.1,8.9,9.5,7.5,5.683999999999996,7.333,ALFA  (2º e 3º ano),0,22,0.0
8.064,10.0,7.3,9.7,9.0,7.5,5.473999999999997,7.333,ALFA  (2º e 3º ano),0,22,0.0
7.232,5.0,5.4,9.3,9.5,7.5,5.585999999999993,7.667,Fase 2 (5º e 6º ano),-2,22,0.0
7.217,5.0,7.3,8.5,9.0,7.5,4.069999999999991,7.5,Fase 2 (5º e 6º ano),-2,22,0.0
7.049,5.0,6.3,8.3,8.0,7.5,5.456000000000003,7.667,Fase 2 (5º e 6º ano),-2,22,0.0
7.676,5.0,7.8,9.6,8.0,7.5,5.625999999999998,7.917,Fase 2 (5º e 6º ano),-2,22,0.0
6.818,10.0,6.1,5.4,8.0,7.5,4.68,7.5,ALFA  (2º e 3º ano),0,22,0.0
6.644,5.0,6.8,6.6,7.0,7.5,5.1399999999999935,7.5,Fase 1 (4º ano),-1,22,0.0
7.831,5.0,8.3,9.0,9.0,7.5,5.544000000000002,8.333,Fase 1 (4º ano),-1,22,0.0
6.98,5.0,6.3,7.2,10.0,7.5,5.4659999999999975,7.417,Fase 2 (5º e 6º ano),-2,22,0.0
6.848,5.0,4.8,8.4,10.0,6.3,5.445999999999991,7.667,Fase 2 (5º e 6º ano),-2,22,0.0
8.279,10.0,8.8,9.0,9.5,7.5,5.523999999999987,7.333,ALFA  (2º e 3º ano),0,22,0.0
7.561,10.0,6.6,7.3,9.5,7.5,4.975999999999994,7.917,ALFA  (2º e 3º ano),0,22,0.0
8.121,10.0,9.0,8.7,9.5,6.3,5.010000000000003,7.5,ALFA  (2º e 3º ano),0,22,0.0
8.361,10.0,9.3,9.1,10.0,6.3,4.510000000000005,8.0,ALFA  (2º e 3º ano),0,22,0.0
7.259,10.0,6.3,6.6,10.0,6.3,5.655999999999999,7.417,ALFA  (2º e 3º ano),0,22,0.0
7.887,10.0,9.6,9.1,8.5,5.0,3.4699999999999953,7.25,ALFA  (2º e 3º ano),0,22,0.0
6.575,5.0,7.3,5.7,8.9,5.6,4.916,7.667,Fase 1 (4º ano),-1,22,0.0
7.497,10.0,7.4,8.1,9.0,5.6,4.703999999999997,7.333,ALFA  (2º e 3º ano),0,22,0.0
7.093,10.0,6.0,6.5,9.5,6.9,4.695999999999998,7.417,ALFA  (2º e 3º ano),0,22,0.0
7.592,5.0,7.5,9.0,8.9,6.9,5.286,8.417,Fase 1 (4º ano),-1,22,0.0
6.81,5.0,6.5,7.9,10.0,5.6,4.6999999999999975,7.0,Fase 1 (4º ano),-1,22,0.0
8.513,5.0,9.6,9.3,10.0,7.5,5.995999999999997,9.417,Fase 1 (4º ano),-1,22,0.0
7.819,10.0,7.1,8.7,10.0,6.3,5.455999999999994,7.417,ALFA  (2º e 3º ano),0,22,0.0
7.483,10.0,6.2,7.3,9.5,7.5,5.829999999999993,7.5,ALFA  (2º e 3º ano),0,22,0.0
7.741,10.0,7.3,7.9,10.0,7.5,4.8439999999999905,7.333,ALFA  (2º e 3º ano),0,22,0.0
7.417,5.0,6.0,10.0,9.5,6.9,5.603999999999987,7.583,Fase 1 (4º ano),-1,22,0.0
6.342,5.0,4.6,7.0,9.0,7.5,4.88599999999999,6.917,Fase 2 (5º e 6º ano),-2,22,0.0
6.922,5.0,6.1,8.4,8.0,7.5,5.553999999999997,7.083,Fase 2 (5º e 6º ano),-2,22,0.0
5.989,5.0,2.8,6.0,10.0,7.5,5.456000000000003,7.167,Fase 2 (5º e 6º ano),-2,22,0.0
6.799,10.0,6.0,4.4,10.0,6.9,5.6239999999999934,7.333,ALFA  (2º e 3º ano),0,22,0.0
7.25,5.0,7.6,8.2,7.5,6.9,5.665999999999993,7.917,Fase 1 (4º ano),-1,22,0.0
7.776,10.0,5.4,9.6,9.5,7.5,5.759999999999996,7.5,ALFA  (2º e 3º ano),0,22,0.0
7.412,5.0,7.6,7.0,9.5,7.5,5.585999999999993,8.667,Fase 2 (5º e 6º ano),-2,22,0.0
7.139,5.0,6.9,7.1,9.5,7.5,5.724,7.833,Fase 1 (4º ano),-1,22,0.0
8.003,10.0,7.8,8.6,9.0,7.5,5.729999999999995,7.5,ALFA  (2º e 3º ano),0,22,0.0
7.234,5.0,6.0,8.6,10.0,7.5,5.640000000000001,7.5,Fase 1 (4º ano),-1,22,0.0
7.41,5.0,7.2,9.2,9.5,7.5,4.965999999999999,7.167,Fase 1 (4º ano),-1,22,0.0
8.179,5.0,8.8,9.2,10.0,7.5,5.624000000000002,8.833,Fase 1 (4º ano),-1,22,0.0
7.791,5.0,7.8,9.5,10.0,7.5,5.644,7.583,Fase 1 (4º ano),-1,22,0.0
8.136,5.0,9.0,9.0,9.0,7.5,5.69399999999999,9.083,Fase 1 (4º ano),-1,22,0.0
7.263,10.0,7.5,7.3,6.9,7.5,5.295999999999994,6.667,ALFA  (2º e 3º ano),0,22,0.0
7.665,5.0,9.2,8.3,8.5,7.5,5.484,7.583,Fase 1 (4º ano),-1,22,0.0
8.207,10.0,8.8,9.0,8.5,7.5,5.470000000000006,7.5,ALFA  (2º e 3º ano),0,22,0.0
7.461,5.0,6.3,7.4,10.0,7.5,5.876000000000001,9.417,Fase 1 (4º ano),-1,22,0.0
5.198,5.0,5.4,5.1,0.0,7.5,5.3139999999999965,6.583,Fase 1 (4º ano),-1,22,0.0
7.875,10.0,7.8,8.2,9.0,7.5,5.249999999999995,7.5,ALFA  (2º e 3º ano),0,22,0.0
7.3,5.0,7.2,8.5,8.5,7.5,5.599999999999996,7.5,Fase 2 (5º e 6º ano),-2,22,0.0
7.952,10.0,9.1,8.3,7.5,7.5,3.2199999999999918,8.25,ALFA  (2º e 3º ano),0,22,0.0
8.538,10.0,9.2,9.0,8.5,7.5,6.146000000000003,8.417,ALFA  (2º e 3º ano),0,22,0.0
6.253,10.0,5.9,5.0,0.0,8.1,5.964,8.333,ALFA  (2º e 3º ano),0,22,0.0
8.491,10.0,8.7,8.8,10.0,7.5,5.575999999999999,8.417,ALFA  (2º e 3º ano),0,22,0.0
7.412,10.0,5.9,7.2,9.0,7.5,5.585999999999993,7.917,ALFA  (2º e 3º ano),0,22,0.0
6.839,5.0,7.7,8.2,7.9,4.4,4.456000000000007,7.417,Fase 1 (4º ano),-1,22,0.0
7.488,5.0,9.0,7.0,9.5,7.5,5.213999999999999,7.833,Fase 1 (4º ano),-1,22,0.0
7.369,5.0,9.1,8.3,8.5,7.5,3.056000000000001,7.417,Fase 1 (4º ano),-1,22,0.0
7.641,10.0,8.5,7.3,10.0,7.5,2.976000000000001,7.167,ALFA  (2º e 3º ano),0,22,0.0
7.515,10.0,8.3,7.9,9.0,7.5,3.083999999999989,6.583,ALFA  (2º e 3º ano),0,22,0.0
5.666,10.0,2.1,6.8,9.0,5.0,3.86000000000001,5.5,ALFA  (2º e 3º ano),0,22,0.0
8.616,10.0,8.5,9.6,10.0,7.5,5.459999999999994,8.5,ALFA  (2º e 3º ano),0,22,0.0
8.098,10.0,9.3,9.0,8.0,7.5,4.54600000000001,7.167,ALFA  (2º e 3º ano),0,22,0.0
8.453,5.0,9.7,9.6,10.0,7.5,5.4300000000000015,9.0,Fase 1 (4º ano),-1,22,0.0
8.398,10.0,8.4,9.1,10.0,7.5,5.48,8.0,ALFA  (2º e 3º ano),0,22,0.0
8.154,5.0,9.5,8.9,8.5,7.5,5.573999999999986,9.083,Fase 1 (4º ano),-1,22,0.0
7.523,10.0,7.7,7.1,10.0,5.6,5.364000000000004,7.333,ALFA  (2º e 3º ano),0,22,0.0
8.325,10.0,8.9,8.7,8.5,7.5,5.549999999999979,8.25,ALFA  (2º e 3º ano),0,22,0.0
8.136,10.0,8.1,8.5,9.5,7.5,5.6599999999999895,7.75,ALFA  (2º e 3º ano),0,22,0.0
9.31095,10.0,9.6,10.0,9.5,8.13,8.4375,8.92,ALFA (1° e 2° ano),0,23,0.0
8.2212,5.0,8.9,9.1,8.5,8.14,7.5,8.585,Fase 1 (3° e 4° ano),-1,23,0.0
5.92975,10.0,6.3,7.6,0.0,3.14,5.9375,6.26,ALFA (1° e 2° ano),0,23,0.0
7.034,10.0,6.3,7.6,0.0,8.14,7.5,8.5,ALFA (1° e 2° ano),0,23,0.0
8.1552,10.0,7.4,8.7,8.5,7.52,7.5,7.915,ALFA (1° e 2° ano),0,23,0.0
7.679,10.0,8.6,8.3,0.0,8.76,7.5,8.415,ALFA (1° e 2° ano),0,23,0.0
8.6992,10.0,8.9,8.6,9.0,8.76,7.5,8.415,ALFA (1° e 2° ano),0,23,0.0
8.63895,10.0,7.1,9.5,10.0,8.76,7.1875,8.67,ALFA (1° e 2° ano),0,23,0.0
9.2587,10.0,9.6,10.0,9.0,8.76,8.125,8.75,ALFA (1° e 2° ano),0,23,0.0
4.909,5.0,1.5,8.5,0.0,8.76,5.0,5.165,Fase 1 (3° e 4° ano),-1,23,0.0
6.8617,5.0,6.9,9.5,9.0,3.76,4.375,6.84,Fase 1 (3° e 4° ano),-1,23,0.0
5.267,5.0,4.3,6.7,0.0,2.52,6.25,8.5,Fase 2 (5° e 6° ano),-2,23,0.0
7.8012,5.0,7.0,9.7,8.5,7.52,6.25,8.67,Fase 2 (5° e 6° ano),-2,23,0.0
5.811,5.0,4.8,8.2,0.0,7.52,6.25,6.67,Fase 1 (3° e 4° ano),-1,23,0.0
8.2712,5.0,7.3,9.5,9.5,7.52,7.5,9.845,Fase 1 (3° e 4° ano),-1,23,0.0
8.6492,10.0,7.5,9.4,10.0,7.52,7.5,8.835,ALFA (1° e 2° ano),0,23,0.0
7.4722,5.0,6.9,9.5,9.5,7.52,5.0,7.5,Fase 1 (3° e 4° ano),-1,23,0.0
6.24,5.0,8.1,9.5,0.0,2.52,5.0,7.34,Fase 2 (5° e 6° ano),-2,23,0.0
6.8225,5.0,8.2,9.8,0.0,2.52,6.875,8.915,Fase 1 (3° e 4° ano),-1,23,0.0
6.724,10.0,6.3,9.4,0.0,2.52,6.25,8.585,ALFA (1° e 2° ano),0,23,0.0
7.7322,10.0,7.3,8.9,10.0,7.52,5.0,6.25,ALFA (1° e 2° ano),0,23,0.0
6.0092,10.0,4.7,8.6,9.0,2.52,3.75,4.16,ALFA (1° e 2° ano),0,23,0.0
8.5082,10.0,8.4,9.7,9.5,6.89,6.25,8.17,ALFA (1° e 2° ano),0,23,0.0
8.4587,10.0,8.8,9.7,9.0,4.39,6.875,8.66,ALFA (1° e 2° ano),0,23,0.0
8.8252,10.0,8.7,9.8,9.0,7.52,7.5,8.665,ALFA (1° e 2° ano),0,23,0.0
8.6422,10.0,8.1,9.4,8.5,7.52,7.5,9.0,ALFA (1° e 2° ano),0,23,0.0
8.6718,10.0,8.4,8.9,8.9,7.52,7.5,9.09,ALFA (1° e 2° ano),0,23,0.0
8.9182,10.0,8.8,10.0,9.0,7.52,7.5,8.83,ALFA (1° e 2° ano),0,23,0.0
8.8092,10.0,9.1,9.5,8.5,6.89,7.5,9.0,ALFA (1° e 2° ano),0,23,0.0
6.989,10.0,8.3,9.1,0.0,2.52,6.25,8.16,ALFA (1° e 2° ano),0,23,0.0
7.8882,5.0,7.5,9.5,9.5,6.89,7.5,7.995,Fase 1 (3° e 4° ano),-1,23,0.0
7.4277,10.0,6.5,8.1,9.0,7.52,6.875,5.84,ALFA (1° e 2° ano),0,23,0.0
8.8112,10.0,8.3,9.6,8.0,6.89,7.5,10.01,ALFA (1° e 2° ano),0,23,0.0
8.1442,5.0,8.5,9.0,8.5,7.52,7.5,9.01,Fase 1 (3° e 4° ano),-1,23,0.0
8.8042,5.0,9.3,10.0,9.5,7.52,7.5,10.01,Fase 1 (3° e 4° ano),-1,23,0.0
8.8142,5.0,9.4,9.9,9.5,7.52,7.5,10.01,Fase 1 (3° e 4° ano),-1,23,0.0
8.6112,5.0,9.1,9.8,9.0,6.89,7.5,10.01,Fase 2 (5° e 6° ano),-2,23,0.0
8.5397,10.0,6.8,9.5,9.5,7.52,6.875,9.5,ALFA (1° e 2° ano),0,23,0.0
9.0912,10.0,8.5,10.0,9.5,6.89,7.5,10.01,ALFA (1° e 2° ano),0,23,0.0
9.0112,10.0,8.5,9.4,10.0,6.89,7.5,10.01,ALFA (1° e 2° ano),0,23,0.0
8.3577,10.0,8.3,8.0,10.0,7.52,6.875,8.34,ALFA (1° e 2° ano),0,23,0.0
6.06525,5.0,7.3,7.9,0.0,6.26,6.5625,6.265,Fase 1 (3° e 4° ano),-1,23,0.0
5.48225,5.0,6.5,8.1,0.0,7.52,6.5625,3.32,Fase 1 (3° e 4° ano),-1,23,0.0
7.2117,5.0,7.9,8.5,9.0,3.77,5.625,8.01,Fase 1 (3° e 4° ano),-1,23,0.0
8.4217,5.0,9.4,9.8,9.0,3.77,8.125,10.01,Fase 1 (3° e 4° ano),-1,23,0.0
8.8452,10.0,9.5,9.8,10.0,3.77,7.5,9.34,ALFA (1° e 2° ano),0,23,0.0
8.8947,10.0,7.8,9.8,9.0,9.38,8.125,8.67,ALFA (1° e 2° ano),0,23,0.0
7.4637,10.0,6.0,8.2,9.5,3.77,5.625,8.67,ALFA (1° e 2° ano),0,23,0.0
7.3112,5.0,7.5,8.7,8.5,3.77,6.25,8.595,Fase 2 (5° e 6° ano),-2,23,0.0
6.659,5.0,7.1,9.1,0.0,3.77,7.5,9.01,Fase 2 (5° e 6° ano),-2,23,0.0
6.2955,5.0,8.3,7.8,0.0,3.77,5.625,8.18,Fase 2 (5° e 6° ano),-2,23,0.0
5.97345,2.5,3.9,9.3,10.0,2.52,5.3125,6.5,Fase 3 (7° e 8° ano),-3,23,0.0
8.5242,10.0,7.8,9.6,10.0,5.02,7.5,9.01,ALFA (1° e 2° ano),0,23,0.0
6.1683,5.0,6.6,7.5,8.4,2.52,5.625,6.01,Fase 1 (3° e 4° ano),-1,23,0.0
6.5418,5.0,7.6,9.1,7.9,2.52,5.0,5.84,Fase 2 (5° e 6° ano),-2,23,0.0
8.140783333,10.0,6.4,9.3,9.0,7.52,7.8125,7.836666667,ALFA (1° e 2° ano),0,23,0.0
7.248833333,10.0,9.3,8.1,0.0,3.77,8.125,7.946666667,ALFA (1° e 2° ano),0,23,0.0
7.831033333,5.0,8.3,9.4,9.5,7.52,6.875,7.056666667,Fase 1 (3° e 4° ano),-1,23,0.0
8.239866667,5.0,9.3,10.0,10.0,5.63,7.5,7.833333333,Fase 1 (3° e 4° ano),-1,23,0.0
8.117366667,5.0,8.4,9.0,9.5,7.52,8.125,8.113333333,Fase 1 (3° e 4° ano),-1,23,0.0
8.1922,10.0,8.6,9.2,7.5,7.52,7.5,6.95,ALFA (1° e 2° ano),0,23,0.0
8.962033333,10.0,9.3,9.6,9.5,7.52,8.125,8.336666667,ALFA (1° e 2° ano),0,23,0.0
8.479366667,10.0,7.9,9.0,9.0,7.52,8.125,8.223333333,ALFA (1° e 2° ano),0,23,0.0
8.486033333,5.0,9.2,9.9,10.0,7.52,8.125,8.056666667,Fase 2 (5° e 6° ano),-2,23,0.0
7.5105,5.0,9.2,9.8,0.0,7.52,8.125,8.28,Fase 1 (3° e 4° ano),-1,23,0.0
7.801,10.0,8.9,8.8,0.0,7.52,8.75,8.17,ALFA (1° e 2° ano),0,23,0.0
6.5143,5.0,7.8,8.3,7.9,3.14,5.625,5.68,Fase 2 (5° e 6° ano),-2,23,0.0
7.6417,5.0,6.7,9.6,9.5,6.27,6.875,8.085,Fase 2 (5° e 6° ano),-2,23,0.0
5.59545,5.0,3.4,6.7,9.0,2.52,5.3125,7.01,Fase 2 (5° e 6° ano),-2,23,0.0
8.2372,10.0,7.4,9.8,7.0,6.89,7.5,8.34,ALFA (1° e 2° ano),0,23,0.0
7.6802,5.0,8.0,8.8,9.5,2.52,7.5,9.34,Fase 1 (3° e 4° ano),-1,23,0.0
7.5972,5.0,7.6,8.3,9.0,7.52,6.25,8.25,Fase 1 (3° e 4° ano),-1,23,0.0
7.2845,5.0,9.1,8.7,0.0,7.52,6.875,8.925,Fase 2 (5° e 6° ano),-2,23,0.0
7.0797,5.0,6.3,9.4,7.0,7.52,5.625,7.175,Fase 1 (3° e 4° ano),-1,23,0.0
7.1527,5.0,7.3,7.8,9.0,4.39,6.875,8.08,Fase 2 (5° e 6° ano),-2,23,0.0
7.7862,5.0,8.2,9.0,9.5,4.38,7.5,8.59,Fase 1 (3° e 4° ano),-1,23,0.0
