INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,FASE IDEAL,DEFA,ANO,FASE
8.404,10.0,7.0,10.0,10.0,7.5,6.039999999999992,8.25,Fase 5 (1º EM),0,22,5.0
7.305,5.0,8.4,8.1,7.1,5.6,6.600000000000001,7.875,Fase 6 (2º EM),-1,22,5.0
8.136,10.0,7.2,9.2,9.6,6.3,6.409999999999991,8.125,Fase 5 (1º EM),0,22,5.0
7.642,5.0,7.2,9.3,9.2,7.5,5.885999999999996,7.917,Fase 7 (3º EM),-2,22,5.0
5.537,2.5,4.9,6.0,6.7,7.5,4.535999999999998,6.167,Fase 8 (Universitários),-3,22,5.0
7.533,10.0,5.8,7.4,9.2,7.5,6.479999999999997,7.875,Fase 5 (1º EM),0,22,5.0
7.891,5.0,9.3,9.4,8.8,7.5,5.709999999999997,7.25,Fase 7 (3º EM),-2,22,5.0
8.282,5.0,8.7,9.1,8.3,8.8,6.285999999999996,9.417,Fase 6 (2º EM),-1,22,5.0
7.368,5.0,7.5,8.1,7.1,8.1,5.779999999999994,8.25,Fase 6 (2º EM),-1,22,5.0
7.712,5.0,9.3,7.7,8.3,7.5,6.569999999999991,7.875,Fase 7 (3º EM),-2,22,5.0
5.665,5.0,4.5,5.6,7.5,7.5,4.616000000000007,5.917,Fase 7 (3º EM),-2,22,5.0
5.195,5.0,3.6,3.0,5.8,7.5,6.6719999999999935,6.889,Fase 6 (2º EM),-1,22,5.0
6.438,5.0,4.0,6.0,8.3,7.5,7.691999999999997,7.944,Fase 6 (2º EM),-1,22,5.0
5.718,5.0,2.5,6.1,8.3,7.5,6.8459999999999965,6.167,Fase 6 (2º EM),-1,22,5.0
5.712,5.0,2.9,6.6,8.8,5.0,7.097999999999995,6.111,Fase 6 (2º EM),-1,22,5.0
4.332,5.0,1.2,2.0,7.9,7.5,4.853999999999994,5.833,Fase 7 (3º EM),-2,22,5.0
7.64,5.0,7.8,7.5,8.3,7.5,7.665999999999995,8.667,Fase 7 (3º EM),-2,22,5.0
5.271,5.0,3.3,3.0,7.1,7.5,5.953999999999997,7.278,Fase 7 (3º EM),-2,22,5.0
4.989,5.0,2.0,3.3,9.6,7.5,5.523999999999996,5.833,Fase 6 (2º EM),-1,22,5.0
3.915,5.0,0.0,3.8,5.4,6.3,5.599999999999996,4.625,Fase 6 (2º EM),-1,22,5.0
9.105,10.0,8.7,9.1,10.0,8.1,8.765999999999998,9.292,Fase 5 (1º EM),0,22,5.0
3.846,5.0,0.7,2.7,7.1,5.0,5.309999999999997,4.625,Fase 6 (2º EM),-1,22,5.0
7.04,5.0,7.2,6.6,8.3,5.6,7.9,8.0,Fase 7 (3º EM),-2,22,5.0
6.847,5.0,8.9,6.3,5.4,5.6,7.486000000000006,7.292,Fase 6 (2º EM),-1,22,5.0
7.29,5.0,7.1,8.3,9.2,5.0,7.649999999999997,7.625,Fase 6 (2º EM),-1,22,5.0
7.675,10.0,6.0,9.2,9.2,5.0,7.233999999999998,7.458,Fase 4 (9º ano),1,22,5.0
6.596,5.0,5.5,6.8,8.8,7.5,7.225999999999999,6.417,Fase 7 (3º EM),-2,22,5.0
6.671,5.0,6.8,6.8,7.9,7.5,7.194000000000003,5.958,Fase 7 (3º EM),-2,22,5.0
6.682,5.0,5.8,8.8,7.1,5.0,7.02,6.75,Fase 7 (3º EM),-2,22,5.0
6.243,10.0,4.3,7.3,6.7,5.0,5.8640000000000025,5.833,Fase 5 (1º EM),0,22,5.0
7.566,5.0,6.7,9.6,7.5,5.6,8.044000000000002,8.458,Fase 6 (2º EM),-1,22,5.0
8.712,10.0,8.8,9.6,8.3,7.5,7.519999999999998,8.5,Fase 5 (1º EM),0,22,5.0
7.498,5.0,6.5,9.2,7.1,5.6,7.464000000000004,9.208,Fase 7 (3º EM),-2,22,5.0
7.323,5.0,5.9,7.8,9.6,7.5,7.729999999999997,8.0,Fase 6 (2º EM),-1,22,5.0
9.442,10.0,8.5,9.7,10.0,9.4,9.11999999999999,9.75,Fase 3 (7º e 8º ano),2,22,5.0
6.645,5.0,6.6,5.7,9.2,5.6,7.8000000000000025,7.125,Fase 6 (2º EM),-1,22,5.0
6.957,5.0,7.4,7.1,9.2,5.0,8.035999999999994,6.667,Fase 6 (2º EM),-1,22,5.0
8.941,10.0,8.5,9.7,8.3,8.1,8.443999999999985,9.083,Fase 5 (1º EM),0,22,5.0
8.921,10.0,7.7,9.6,8.3,8.1,9.04399999999999,9.583,Fase 5 (1º EM),0,22,5.0
6.308,5.0,4.8,6.6,8.3,7.5,6.8959999999999955,6.292,Fase 7 (3º EM),-2,22,5.0
7.54,5.0,6.7,7.8,9.2,6.9,8.299999999999992,8.5,Fase 6 (2º EM),-1,22,5.0
7.468,10.0,6.9,8.8,7.5,5.0,8.195999999999994,6.292,Fase 5 (1º EM),0,22,5.0
9.354,10.0,8.5,10.0,8.8,9.4,9.00599999999999,9.667,Fase 5 (1º EM),0,22,5.0
6.158,5.0,5.0,6.3,8.8,7.5,6.014000000000008,5.833,Fase 6 (2º EM),-1,22,5.0
7.618,10.0,7.6,7.8,8.8,5.0,7.080000000000002,7.25,Fase 3 (7º e 8º ano),1,22,4.0
7.305,5.0,7.6,8.3,7.9,7.5,7.18399999999999,6.833,Fase 5 (1º EM),-1,22,4.0
6.922,10.0,5.7,7.7,6.7,6.9,6.819999999999986,6.0,Fase 4 (9º ano),0,22,4.0
8.107,10.0,7.3,8.7,7.9,7.5,8.253999999999992,7.708,Fase 3 (7º e 8º ano),1,22,4.0
6.315,2.5,3.7,8.7,7.9,7.5,7.034000000000011,6.708,Fase 8 (Universitários),-4,22,4.0
6.846,2.5,6.7,8.2,7.9,5.6,7.826000000000004,7.417,Fase 7 (3º EM),-3,22,4.0
7.973,5.0,7.4,8.0,9.2,9.4,8.579999999999997,8.375,Fase 5 (1º EM),-1,22,4.0
6.258,5.0,4.6,6.4,7.5,7.5,7.58,6.5,Fase 5 (1º EM),-1,22,4.0
5.547,2.5,5.0,7.7,4.6,5.0,5.720000000000001,6.125,Fase 7 (3º EM),-3,22,4.0
8.512,5.0,8.4,10.0,8.8,8.8,8.386000000000013,8.667,Fase 6 (2º EM),-2,22,4.0
8.15,10.0,6.7,9.7,9.2,5.6,7.900000000000009,8.0,Fase 4 (9º ano),0,22,4.0
8.646,10.0,8.0,9.4,7.5,8.1,8.726000000000003,8.667,Fase 3 (7º e 8º ano),1,22,4.0
7.836,5.0,8.5,7.8,7.9,6.3,8.893999999999993,8.833,Fase 5 (1º EM),-1,22,4.0
3.032,5.0,3.7,0.0,0.0,5.0,5.3359999999999985,3.792,Fase 5 (1º EM),-1,22,4.0
5.894,5.0,5.3,6.3,7.9,7.5,5.339999999999998,5.0,Fase 6 (2º EM),-2,22,4.0
5.886,5.0,3.8,6.8,8.3,6.3,6.894,5.583,Fase 6 (2º EM),-2,22,4.0
6.854,5.0,5.9,8.1,5.8,6.3,7.855999999999996,7.792,Fase 6 (2º EM),-2,22,4.0
6.685,5.0,6.1,6.3,7.9,6.9,7.4159999999999915,7.417,Fase 5 (1º EM),-1,22,4.0
5.597,10.0,3.9,5.3,0.0,6.3,7.354000000000003,6.958,Fase 4 (9º ano),0,22,4.0
7.501,10.0,5.4,8.2,8.3,5.6,8.160000000000007,7.875,Fase 4 (9º ano),0,22,4.0
6.825,5.0,6.2,5.9,8.3,7.5,7.915999999999999,7.667,Fase 5 (1º EM),-1,22,4.0
7.245,5.0,7.2,8.4,7.1,6.3,7.599999999999998,7.625,Fase 6 (2º EM),-2,22,4.0
5.061,10.0,1.8,3.4,7.9,7.5,4.893999999999998,4.958,Fase 4 (9º ano),0,22,4.0
7.084,5.0,6.5,8.6,7.9,5.6,7.555999999999994,7.292,Fase 6 (2º EM),-2,22,4.0
7.388,10.0,6.7,7.8,7.9,5.0,7.646000000000006,7.167,Fase 4 (9º ano),0,22,4.0
7.619,5.0,7.1,8.5,8.8,7.5,8.19,7.75,Fase 5 (1º EM),-1,22,4.0
6.289,5.0,4.4,5.8,7.1,7.5,8.056000000000001,7.417,Fase 5 (1º EM),-1,22,4.0
8.283,10.0,7.9,8.7,7.5,7.5,8.379999999999992,8.125,Fase 4 (9º ano),0,22,4.0
5.563,5.0,5.6,6.2,0.0,7.5,7.195999999999989,6.167,Fase 5 (1º EM),-1,22,4.0
6.926,5.0,6.7,6.4,6.7,7.5,8.276000000000003,7.792,Fase 5 (1º EM),-1,22,4.0
5.624,5.0,4.1,4.7,8.3,5.0,7.34,6.5,Fase 6 (2º EM),-2,22,4.0
7.174,5.0,5.6,9.0,8.8,5.6,7.640000000000011,7.75,Fase 5 (1º EM),-1,22,4.0
8.355,10.0,7.7,8.8,10.0,5.6,8.033999999999999,8.458,Fase 4 (9º ano),0,22,4.0
6.875,5.0,5.6,7.1,7.9,7.5,7.699999999999996,7.625,Fase 5 (1º EM),-1,22,4.0
6.607,5.0,4.7,6.8,8.8,7.5,7.0200000000000085,7.375,Fase 5 (1º EM),-1,22,4.0
7.692,5.0,8.6,7.8,8.3,5.6,8.054000000000006,8.583,Fase 5 (1º EM),-1,22,4.0
6.478,5.0,4.6,6.3,10.0,7.5,7.145999999999999,6.667,Fase 5 (1º EM),-1,22,4.0
7.056,2.5,7.3,8.9,7.5,5.0,7.5760000000000005,7.792,Fase 7 (3º EM),-3,22,4.0
6.738,5.0,5.6,8.0,9.6,5.6,7.2300000000000075,6.375,Fase 5 (1º EM),-1,22,4.0
3.738,2.5,1.4,3.5,7.1,5.0,5.146000000000002,3.917,Fase 7 (3º EM),-3,22,4.0
7.407,10.0,5.7,7.6,7.9,6.9,7.335999999999991,7.667,Fase 4 (9º ano),0,22,4.0
7.118,10.0,5.7,8.2,9.2,5.6,6.7460000000000075,5.917,Fase 4 (9º ano),0,22,4.0
7.457,10.0,6.3,8.6,6.7,5.6,7.304000000000004,7.583,Fase 4 (9º ano),0,22,4.0
8.638,10.0,7.9,9.9,8.3,5.6,7.879999999999994,9.5,Fase 3 (7º e 8º ano),1,22,4.0
8.181,10.0,7.9,9.3,7.5,5.0,8.325999999999985,8.292,Fase 4 (9º ano),0,22,4.0
5.846,5.0,5.2,6.3,0.0,8.1,7.859999999999996,7.25,Fase 6 (2º EM),-2,22,4.0
7.947,5.0,7.9,9.2,8.3,7.5,8.053999999999997,8.208,Fase 5 (1º EM),-1,22,4.0
7.541,10.0,6.1,7.7,8.3,7.5,7.510000000000003,7.25,Fase 4 (9º ano),0,22,4.0
7.894,10.0,5.3,7.9,9.2,10.0,7.923999999999998,7.708,Fase 4 (9º ano),0,22,4.0
6.323,5.0,5.0,6.5,9.2,7.5,6.280000000000001,6.125,Fase 5 (1º EM),-1,22,4.0
6.962,5.0,6.9,6.3,9.6,6.9,7.053999999999991,7.333,Fase 6 (2º EM),-2,22,4.0
7.563,5.0,8.3,7.5,8.8,6.9,7.413999999999996,7.958,Fase 6 (2º EM),-2,22,4.0
6.712,5.0,6.5,7.0,8.3,7.5,6.735999999999995,6.292,Fase 6 (2º EM),-2,22,4.0
7.535,10.0,6.6,8.2,7.9,5.0,7.434000000000003,7.708,Fase 4 (9º ano),0,22,4.0
6.073,5.0,4.0,6.1,8.3,6.3,7.263999999999999,6.833,Fase 5 (1º EM),-1,22,4.0
7.051,5.0,5.2,8.3,10.0,7.5,7.343999999999999,6.833,Fase 6 (2º EM),-2,22,4.0
7.357,5.0,4.4,8.3,10.0,9.4,8.186,7.792,Fase 5 (1º EM),-1,22,4.0
8.317,10.0,7.7,10.0,7.5,6.3,7.385999999999999,8.292,Fase 3 (7º e 8º ano),1,22,4.0
7.302,2.5,6.6,9.8,7.9,5.6,7.969999999999997,8.125,Fase 7 (3º EM),-3,22,4.0
6.49,5.0,4.7,8.1,8.3,5.6,7.484000000000002,6.458,Fase 5 (1º EM),-1,22,4.0
6.746,5.0,5.3,7.2,7.5,5.6,7.860000000000005,8.25,Fase 5 (1º EM),-1,22,4.0
7.957,10.0,6.9,9.1,7.9,5.6,7.904,8.083,Fase 2 (5º e 6º ano),2,22,4.0
7.215,10.0,5.5,8.5,6.7,7.5,6.865999999999994,6.542,Fase 4 (9º ano),0,22,4.0
6.797,5.0,6.7,7.9,8.8,5.6,6.3700000000000045,6.5,Fase 5 (1º EM),-1,22,4.0
